timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1715850750.6981015,-0.41079226,0.11824425,-0.60866493,-0.41079226,0.11824425,-0.60866493
1715850750.7000515,-0.41079226,0.11824425,-0.60866493,-0.41079226,0.11824425,-0.60866493
1715850750.7021322,-0.41079226,0.11824425,-0.60866493,-0.41079226,0.11824425,-0.60866493
1715850750.7143245,-0.38309538,0.27270746,-0.37856802,-0.38309538,0.27270746,-0.37856802
1715850750.7393777,-0.21265323,-0.043675803,-0.38389435,-0.21265323,-0.043675803,-0.38389435
1715850750.7537646,-0.20945744,-0.274838,-0.3966775,-0.20945744,-0.274838,-0.3966775
1715850750.7651558,-0.429967,-0.39308223,-0.25180167,-0.429967,-0.39308223,-0.25180167
1715850750.7674923,-0.429967,-0.39308223,-0.25180167,-0.429967,-0.39308223,-0.25180167
1715850750.7697477,-0.429967,-0.39308223,-0.25180167,-0.429967,-0.39308223,-0.25180167
1715850750.7719655,-0.429967,-0.39308223,-0.25180167,-0.429967,-0.39308223,-0.25180167
1715850750.7740548,-0.429967,-0.39308223,-0.25180167,-0.429967,-0.39308223,-0.25180167
1715850750.7761245,-0.429967,-0.39308223,-0.25180167,-0.429967,-0.39308223,-0.25180167
1715850750.7783773,-0.429967,-0.39308223,-0.25180167,-0.429967,-0.39308223,-0.25180167
1715850750.7804766,-0.429967,-0.39308223,-0.25180167,-0.429967,-0.39308223,-0.25180167
1715850750.782599,-0.429967,-0.39308223,-0.25180167,-0.429967,-0.39308223,-0.25180167
1715850750.7845683,-0.429967,-0.39308223,-0.25180167,-0.429967,-0.39308223,-0.25180167
1715850750.786737,-0.429967,-0.39308223,-0.25180167,-0.429967,-0.39308223,-0.25180167
1715850750.788967,-0.429967,-0.39308223,-0.25180167,-0.429967,-0.39308223,-0.25180167
1715850750.7910793,-0.429967,-0.39308223,-0.25180167,-0.429967,-0.39308223,-0.25180167
1715850750.79919,-0.6898913,0.13635373,0.02516685,-0.6898913,0.13635373,0.02516685
1715850750.8142629,-0.6728471,0.95128036,0.38735646,-0.6728471,0.95128036,0.38735646
1715850750.816435,-0.6728471,0.95128036,0.38735646,-0.6728471,0.95128036,0.38735646
